2022-03-08T14-40-56,11355,NYP- QUEENS HOSPITAL,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,,
2022-05-17T05-27-38,11355,Walgreens Store #01572,NLP,NLP,NLP,13,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,11355,MEDISPACE DRUGS,NLP,NLP,NLP,66,05/12/2022 12:00:00 AM
2022-05-18T05-40-23,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,11355,WALGREENS STORE #01572,NLP,NLP,NLP,7,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-21T05-54-21,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-22T09-07-10,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-22T09-07-10,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-22T09-07-10,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,11355,WALGREENS STORE #01572,NLP,NLP,NLP,2,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,11355,SANFORD PHARMACY,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,11355,MEDISPACE DRUGS,NLP,NLP,NLP,39,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,11355,WORLD PHARMACY,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
