2022-02-18T16-04-21,40403,ST JOSEPH BEREA,02/15/2022 12:00:00 AM,,15,,
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-26T07-59-29,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-26T07-59-29,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-26T07-59-29,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-27T05-48-57,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-28T05-34-18,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-29T05-31-58,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-30T05-32-42,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-31T08-56-01,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-01T05-37-50,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-02T07-54-10,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-03T08-50-11,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-04T19-11-08,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-05T08-48-25,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-06T06-32-51,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-07T05-36-41,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-08T05-42-02,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-09T04-15-20,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-10T04-15-36,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-11T04-15-14,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-12T04-15-15,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-06-13T04-15-40,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
